Document,time,Topic
что производит ваш цех что производил кмк общей численностью рабочих тысяч человек,2025-02-25 17:25:07,2
считаю что масштабы кадрового голода таковы что людей нет обучаемых необучаемых кемерово скорой помощи работают индусы студенты даже еще специалисты кто оборудовании медицинском иипортном работать будет кто обслуживать будет техники инженеры ситуация аховая стране,2025-02-25 17:15:58,2
епрст отлично образованием детей заинтересовывать нужно объяснять что понимать устроен мир прекрасно,2025-02-25 17:06:18,3
вот вводятся новые стандарты для образования это очень хорошо это будет способствовать развитию россии,2025-02-25 17:05:17,3
наши стандарты образования уже давно пора пересматривать вводить новые они реально очень хорошие,2025-02-25 17:04:17,3
стоимость образования барышня образованных людей которые уже есть целом,2025-02-25 16:39:23,3
пишут пора своем народе думать они думают абхазам свет бесплатный нам повышение двадцати процентов кишлачникам бесплатную медицину пособия всю орду коренным народам налоги повышающие радеющие народ мусор плата квадратных метров мусорит человек нежилье,2025-02-25 16:18:20,5
откуда это берете кто сказал что зп было после окончания сво многие расходы будут нужны это сокращение рабочих мест заработной платы минимум,2025-02-25 16:15:56,2
говорил что плохая система образования говорю что учиться хотят,2025-02-25 15:58:19,3
братан для этого нужно поднять уровень образования для начала,2025-02-25 15:49:01,3
одну трубу втекает другую вытекает школьная задача пока заткнете первую вытекать будет вечно,2025-02-25 16:37:41,3
мвд кормушку закрыть что можно депутаты совсем обалдели полицаев взяток оставить хотите,2025-02-25 16:31:52,4
москву везите отдельным бортом мчс госпиталь склифосовского,2025-02-25 20:17:06,5
согласен бывает значит учете состоит переодически лежит дурку определили,2025-02-25 14:36:07,3
забрали дней медучреждение ему там клизму что поставят,2025-02-25 13:23:47,5
эт спасибо оптимизацию мед реформы теперь даже лечение психов них согласие брать надо,2025-02-25 13:11:53,5
знаю даже кто школу вопреки закону ходят замотанными никогда пробуют надеть паранджу модно,2025-02-25 12:35:41,3
задерживать всех кто никабе отвозить полицию для выяснения личности тогда они сами станут носить,2025-02-25 12:27:26,4
абсолютно согласен работать надо всех регионах есть работа которую хорошо платят,2025-02-28 10:51:12,2
потому что дают учиться медицине конкурсы даже платное ужас это несправедливо кто учился элитных школах высокими требованиями кто тьмутаракани аттестаты таких пятерками вот одни шахнозы медицине теперь несправедливо,2025-02-27 16:08:32,5
даже медалистам было сложно поступить медицинский хватало бюджетных мест теперь врачей почему хватает,2025-02-27 07:08:33,5
зарплата врачей зарплата уборщицы том же учреждении пиздят что если еще сутками дежуришь мрази,2025-02-27 05:29:55,5
сами же нищенскими зарплатами разогнали врачей теперь него нехватка капец что уроды,2025-02-26 21:13:40,5
сих пор сидит очень высоко развалил медицине,2025-02-26 15:54:29,5
удивительно многие медики зону сво уехали там работают сейчас,2025-02-26 11:27:01,5
курьеров перепугу самые востребованные профессии включили наоборот эту сферу уменьшать надо раздувать,2025-02-26 11:21:23,2
главные врачи поликлиник больниц нижний тагил выживают своих работников климова гп павловских цгб переходят личности делают работу невозможной коллектив убегает них уже идти кому прием держат проверте документацию отдела кадров утечке персонала,2025-02-26 11:17:05,5
зарплату поднимают сокращают медсестру санитарку врачей врачам зарплату повышают правильно медсестре нянечке санитарки врачу повышают зарплату,2025-02-26 10:46:44,5
платите медсестрам зарплату нормальную врачам они так хорошо взятки берут,2025-02-26 10:42:56,5
идеального нет нигде мире что творят последнее время руководители медицины вызывает вопросы компетенции еще тобой брудершафт пили,2025-02-26 10:35:58,5
даже самый последний дурачок знает решить эту проблему нужно чтобы работники бумажке наяву получал хорошую зарплату,2025-02-26 09:57:39,2
допустим средний мед персонал почти везде стране получает ставку переработкой может продавец бристоле легко таксист курьер тоже легко сотка вполне пока так ничего медицине изменится меня знакомые медсестры работали несколько свалили делать ногти получают работы меньше чем мед госке,2025-02-26 08:11:53,5
это решит проблему гос больницы сократили наоборот всех куче гос мед учреждениях многих сократили годами закупается оборудование старое короче могут зп платить тк чинуши воруют нет средств оборудование ремонты тд тогда сможет помочь отсутствие платных если государство может обеспечить даже больницы что сейчас есть очень смешные,2025-02-26 08:07:40,5
конечно ведь так сложно зп платить зп что сейчас ниже средних медсестрам платят бристоле продавцу нужно закрыть платное только мед сферу типо автомастерские частные магазины любые запретил лучше людям себя тогда работать сколько ремонтников навесные потолки ставят балконы себя должны только государства медики должны,2025-02-26 08:04:01,5
так ничего что зарплаты них хорошие начиная тыс это медсестры помощники заканчивая тыс это уже скорее хирурги так что дело вовсе зарплате,2025-02-26 07:13:30,5
пойму сначала каждого утюга орали оптимизацию медицины повысится качество услуг если сократить число больниц медперсонал теперь бьются истерике что врачей хватает ковид когда насильно шприцевали жижей население хватало ведь,2025-02-26 05:22:50,5
сначала активно просрать потом руками махать кто убивал медицину образование последние годы моему своих местах сидят,2025-02-26 05:18:07,5
зарплаты нормальные сделайте врачам учителям будет вам счастье,2025-02-26 04:23:19,5
какая пандемия кадрового голода получается целом можно отметить низкую эффективность системы финансирования медицинских организаций главным образом тфомс,2025-02-26 01:37:54,2
где этот дефицит медиков слышно что наоборот они хотят работать регионах рамках оптимизации идут сокращения увольнения закрытия мед учреждений они тут дефицит вещают,2025-02-25 23:50:08,5
почему вошли мвд ведь они так же необходимы кадровый голод уже сказывается оказание услуг населению,2025-02-25 23:41:11,2
работа деньги везде есть вопрос только том что много кто хочет денег работать хотят меня знакомых очень много еще ипотеки платить своем доме уже пятый год живу кто хочет офис ездить полтинник кто хочет ипотеку тридцать платить вопрос мотивации было желание варианты всегда найдутся,2025-02-25 23:18:53,2
чувак пытайся даже меня додумывать твои сограждане тебе наверняка ответят какие них зарплаты же понимаешь что везде твоей стране одинаковые зарплаты ценны еще пока совке что фиксированные зарплаты ценны это зависит регионы если вспомнить что вас типа федерация тем более,2025-02-25 23:14:24,2
краснодарский край ток пожалуйста надо мне рассказывать что где нибудь селе глухие камыши под мурманском таких зарплат платят,2025-02-25 23:10:59,2
так строитель зарплата тыс даже разнорабочие минимум тыс получают условии что умеют хотя лопату правильного конца держать где тысяч работаете понятия имею,2025-02-25 23:07:26,2
том что такой дефицит врачей мед бюджет поступить почти реально это понимать,2025-02-25 22:49:53,5
ладно врачи вообще нужны ведь каждый знает если лечится сама пройдет основном только эти два заболевания ставят последнее время,2025-02-25 21:30:46,5
знаю вас астрахани фельдшера меньше получает работают сутки трое,2025-02-25 20:27:14,2
вот работала ым номером первым номером было врача лишь всей подстанции остальные фельдшера первым номером вместо врачей самара году тыс,2025-02-25 20:17:19,5
знаю вас врач скорой получает фельдшер приходят типо врачи молодые нихрена знают получают наравне теми кто проработал,2025-02-25 20:14:13,5
врачу надо вернуть статус врача обслуживающего персонала пока врач будет оказывать услуги лечить так будет медицина упадке надо врача ноги вытирать может тогда будет будущее медицине,2025-02-25 19:57:19,5
дооптимизировались сами довели такого ужаса позорными нищенскими зарплатами,2025-02-25 19:32:22,2
платные клиники запретить навести порядок действующий минздрав справится там тоже типа смерш нужно вводить,2025-02-25 19:26:15,5
вот жестокий пример скорой медсестра получает работая сутками тыс руб водитель часов график дня тыс это ужасная несправедливость этой профессии,2025-02-25 19:05:39,5
так вопросы голиковой она же провела реформу закрывая больницы увольняя вне куда медицинский персонал,2025-02-25 18:48:38,5
врачи разбежались мед центрам место заняли выходцы бывших республик,2025-02-25 18:45:48,5
может просто стоит честно писать какие нафиг нарративы пиши зарплату тысяч только этом укажи что работают они ставки нет же врешь здесь специально,2025-02-25 18:10:33,2
искренне понимаю что людей так удивляет кто врет этой темой интересовался немного тебя там родственники работают сядь машину отъедь любого областного центра зайди любую непрофильную больницу наверняка увидишь там зажравшихся медсестер которые только что тайланда приехали очередного отпуска так вот прежде чем писать свой негатив мнение которое идет мимо нарратива башке сначала банально задайте себе вопрос вообще этом чтото понимаю любой топик открываю сидят блин эксперты которые понимают всем цен китайские машины зарплат медсестер регионах самоуважение есть вообще этих людей простоользуются безнаказанностью интернета знают что слова подтянут можно писать что угодно,2025-02-25 18:07:56,5
надо нормальные платить вот будет нехватки обучение переобучение хрень какая уходят кто уже отучился,2025-02-25 18:01:21,3
потому что проще быть охранницей детском саду москве чем быть медсестрой стажем работать копейки,2025-02-25 17:51:44,5
врачам поднять зарплату счет бюджета депутатам собирать пропитание первый канал убрать них помощников дабы дурь каждого была видна,2025-02-25 17:44:46,5
такие зарплаты москве некоторых больницах больше так что формально врет это относится регионам сожалению,2025-02-25 17:37:39,5
зря так козельский военный госпиталь зарплата такая же медсесра были рады повышению мрот теперь хотя,2025-02-25 17:33:09,5
том дело сейчас медицина это прайс раньше было призвание причем далеко всегда династийное,2025-02-25 17:31:19,5
лично ушел медицины работал медбратом платили копейки нагрузка большая отношение пациентов скотское свою учебу платил налогоплательщики своей же зп получал зп хотел помогать людям отработал понял что жизнь тут заработать работаю другой сфере жалею жалею что ушел раньше курьер,2025-02-25 17:29:36,5
раньше называли больной это было бесплатно сейчас пациент платные услуги так обидно,2025-02-25 17:29:31,5
им зарплату пытались повысить средняя зарплата медсестер больнице тыс девочки весь белки колесе носятся капельницы ставят уколы стараются взять ночные смены,2025-02-25 17:29:09,5
клятву гиппократа последнее время кто произносит выпускников медиков,2025-02-25 17:25:11,5
ага гос медицину развалили чиновники виноваты частные клиники вас логика если закрыть частные клиники врачей больше станет мед институты просто перестанут поступать,2025-02-25 17:23:42,5
какой цирк разве целью оптимизации было сокращение мед учреждений кадров цель достигнута сейчас что так,2025-02-25 17:21:58,5
закрыть платные будет очередь врачей будет нормально,2025-02-25 17:03:15,5
ссср ложили больных больницу лечили было узи омерте какие были врачи грамотные теперь учат деньги они приходят понимают,2025-02-25 16:56:44,5
зарплату поднять разрешают врачей заменят ценными специалистами средней азии,2025-02-25 16:55:47,5
детская больница пензы медсестра кучей дежурств ставки зарплата месяц,2025-02-25 16:54:07,5
позорище просто позорище развалили медицину пытаются крепостных сделать медиков платят гроши упрекают копейками медсестры уборщицы санитарки бедолаги какие немыслимые цифры озвучивает самому слабо рублей прожить,2025-02-25 16:32:38,5
зарплату врачам тыс медсестрам возможно тогда они будут частным кабинетам разбегаться живу крыму очередь кардиологу два месяца расписана итог частный прием тыс зачем тогда платим страховую медицину каком приросте населения можно говорить если это население лечить хотят,2025-02-25 16:30:52,5
очнулись году когда проводили оптимизацию кучу мед персонала поувольняли этом никто задумывался,2025-02-25 16:25:35,5
так года убивать медицину еще чему удивляться,2025-02-25 16:24:15,5
где такие цифры берете средний медперсонал окладом гос больнице работаю ставки чтобы выживать ведь меня ипотека плачу ее одна работы очень много стимулирующие копейки отсыпных после суток нет приходишь домой спишь завтра опять работу полноценных выходных это редкость для меня надбавки говорят усмотрению администрации свой карман они только смотрят развал медицины всей стране только говорят что хорошо,2025-02-25 16:18:18,5
так эти тыщи врачей частных мед центрах работают,2025-02-25 15:56:34,5
чем проблема набрать что нет медиков хватает численность людей,2025-02-25 15:47:59,5
платные клиники зайдите они там этих клиник городе больше чем государственных мед учерждений,2025-02-25 15:45:15,5
норм записываешься прием там фамилии врачей какие экзотические,2025-02-25 15:43:38,5
зато депутатиков вдоволь всех уровней хорошей зарплатой,2025-02-25 15:40:30,2
вузы колледжи должны бесплатно учить тогда много специалистов будет задрали цены тысяч надо заплатить чтобы ребенок учился это один курс,2025-02-25 15:35:37,3
поликлиниках сидят теперь врачи таджики заполонили уже поликлиники идти ним прием бестолку абсолютный ноль ведь занимает место что нам делать лечиться главное откуда они берутся,2025-02-25 15:13:34,5
половину министерств столице регионах можно сократить если дебильные каждодневные запросы для заполнения табличек разного рода убрать давно пора врачей персонал перевести голосовое заполнения разного рода бумаг где ии врачи рядовые работники министерст стонут рутинной работы заполнению бумажек какой волшебный пиннок нужен,2025-02-25 15:13:00,5
оптимизацию медицины проведенную непотопляемыми министершами уже никто вспоминает,2025-02-25 15:02:42,5
даже небольших райцентрах уже частных медцентра райбольницах нет нужных лекарств нет реактивов частные клиники приезжают врачи центров тут плюс минус плюс где можно сдать анализы получить консультацию большой минус нет единой медкарты пациента разрозненно разным медцентрам,2025-02-25 15:00:52,5
хрен было разрешать открытие платных клиник было врачей хватоло,2025-02-25 14:58:48,5
может платные клиники пора прикрыть зарплаты повысить смотри мед персонал появится вдруг,2025-02-25 14:50:59,5
зарплату достойную медсестрам платите они вернутся свою профессию,2025-02-25 14:50:21,5
нам работе работу выходные дни категорически запрещают ставить заявлении галочку двойная оплата сверхурочную работу причем даже если ставишь заявлении галочку именно тут тебе равно каким чудным образом оплачивают одинароном дают отгул который кстати говоря оплачивается хороший такой отгул выгодный работу выходные нет руководство себя хочет творить вопрос где мое оригинальное заявление ответ виде сурового взгляда,2025-02-25 14:41:18,2
думаю зарплат совсем нету людей плюс ублюдочное руководство бюрократия переработки скотское отношение,2025-02-25 14:36:10,2
дурь полная частной клинике невропатологу примеру можно попасть даже завтра гос поликлинике хи хи хи недели две врачи частных клиник уйдут госмедицину вообще медицины,2025-02-25 14:31:11,5
меня ночью поднялось давления высокое вызвали скорую так больна еще онкологии пориехали она дали под язык катоприл скозали что дают уколы запретили делать уехали простите меня вот получаю газету только листа соболезнования вот такое обращения людям,2025-02-25 14:30:28,5
интересно что такое же количество врачей было уволено потому что они отказались прививать хотя это было доказано что привитые люди распространяют ковид еще больше даже больше учителей было уволено,2025-02-25 14:28:32,5
это вообще трындец своему врачу свою женскую консультацию приходится ездить другой конец москвы есть перед работой уже особо заскочишь осмотр консультацию каких министров поставили такие услуги качество получаем,2025-02-25 14:21:32,5
еще меньше зп сделать тогда медицина вообще умрет,2025-02-25 14:12:09,5
муж реаниматолог стаж высшая категория если работать ставку это каждый зарплата чистыми тысяч если это молодой доктор женой декрете жилья,2025-02-25 14:08:50,5
мурашко дурень знаешь почему хватает стране медсестер типа тебя медицинского начальника потому что максимум тысяч эти люди работать что хотят просто должны моя дочь после медучилища отработала года медсестрой детской областной больнице прошедшем октябре благополучно уволилась потому что нужно жизнь строить хорошо зарабатывать прозябать нищете если месяц она была сутках месяце дней напомню максимум платили этой прекрасной бюджетной медицинской организации около тысяч этом огромная ответственность больных детей колоссальные нервы мамашами особенно наглыми беспринципным цыганскими так далее ее подружки которые умнее после медучилища ушли коммерцию типа педикюр ресницы зарабатывают легко три раза больше нервов высыпаются свое удовольствие так далее хочу чтобы этот фантазер министр мурашко вызвал меня суд неправду буду только рад расскажу столько интересного можно книгу будет написать,2025-02-25 14:07:14,5
под это закрывают больницы москве укрупняют типа планируют закрыть женские консультации домах якобы положено айда всех беременных единый суперсовременный центр мира,2025-02-25 14:05:57,5
медицину уже ниже плинтуса опустили сама этом соку варюсь платите деньги людям будет нехватки издеваются просто над медиками медсестра уже хуже уборщицы хер ставят,2025-02-25 13:53:33,5
кстати теперь навезут сколько хочешь вообще медицину можно вливать хочешь поправится иди платникам можешь иди ритуальные услуги очередь записывайся плюсе кроме работяг,2025-02-25 13:48:28,5
кто понесет ответственность развал медицины где авторы оптимизации где курируюшие зампреды,2025-02-25 13:43:18,5
ппц кому сказки рассказываете постепенно утихает врачей сестер днем огнем найдешь,2025-02-25 13:39:36,5
вопрос нет специалистов платят где платят больше разберитесь,2025-02-25 13:27:03,2
зп для младшего медперсонала для врачей регионах сделайте хотя проводите ковидные госуслуги что кто украл будет хорошо,2025-02-25 13:25:50,5
сначала развалили всю систему здравоохранения теперь руками разводят что нахватает врачей надо начинать спрашивать тех кто стоял истоков развала тех кто кто это мракобесие продолжил сегодняшнего времени,2025-02-25 13:20:00,5
несколько назад приеме терапевта ней разговорились она сказала что идет тому чтобы медецина была платная,2025-02-25 13:18:33,5
зарплату платить пробовали кто счас будет работать,2025-02-25 13:17:40,2
если зп будет выше рынок труда рынок чтобы искать где побольше получишь,2025-02-25 13:09:09,2
курьер днище самые востребованные профессии будут рабочей сфере заводах конструкторском бюро врачи быть может пилоты остальные либо есть либо восполняются,2025-02-25 13:08:21,2
конечно дефицит образование ведь это сфера услуг,2025-02-25 13:04:51,3
кто месте сталкивался проблемой медицины это пустой треп вопрос один нам нужны люди взрослые профессиями так лечите увозите больни доживать это такой же метод повысить рождаемость дать умереть вернуть обществу трудоспособных граждан,2025-02-25 13:03:00,5
сволочи врачи поликлинике скорой копейки получают эти министерствах среднюю зарплату выводят тыс руководству миллионы плюс воровство среднему звену подачку виде тыс высчитывают среднюю уроды,2025-02-25 13:02:15,5
дефицит составляет потому что большинство уходят достойной зарплатой нормальным отношением частные клиники уже таджики киргизы идут работать,2025-02-25 12:58:08,5
так платите нормально такие профессии моги стороны начальства чудо народ пойдет эту работу привыкли нечего платить аивам прям чтоб сделали фсе,2025-02-25 12:57:01,2
нет какой работать надо идею гробить свою собственную жись ради светлых идеалов,2025-02-25 12:53:04,2
минимальная заработная палата самарской области руб должностной оклад медицинской сестры салатной стационара хвостиком ставку чтобы что заработать медсестра должна просто больнице,2025-02-25 12:51:33,5
повезло больнице чо это проблема больницы идейность временем перегорает включается рационализм знакомого реаниматолога уже года уговариваю бросить медицину сперва какую теперь колеблется уйдет один район бабки пачками поедут встречу создателем второго реаниматолога найти могут,2025-02-25 12:48:27,5
сказал что пусть учится делать ногти это там клиника призвание вообще конечно ситуация нее врача было была медсестра скоро вернется круги своя переезжаем ростовской области,2025-02-25 12:47:06,5
сегодня подписала добровольное соглашение вредные опасные условия труда потому что подняли оклад февраля смысл бюджете учреждения заложены лишние деньги получите распишитесь ввп сказал поднять вот подняли благодарствую,2025-02-25 12:45:21,2
меня девушка врач онколог зп нее тыс плюс премия тыс премия эта усмотрение главврача если берешь больничный увы кто здравом уме захочет отучиться больше получать эти копейки кроме моей идейной,2025-02-25 12:43:39,5
медиков таких точно нужно таким разговорным жаргоном только курьеры,2025-02-25 12:42:22,5
мурашко скажи пожалуйста какая зарплата этих сотрудников тогда поймешь чем причина зеркало забудь посмотреть,2025-02-25 12:39:33,2
если закрыли платные скорее курьеры пошел чем медики работать идею,2025-02-25 12:37:57,5
иди батрач полную смену ночными обосааных обосраных всех возрастов пациентов обслуживай,2025-02-25 12:32:16,5
вводите обязательность отработки после вуза раньше были целевики,2025-02-25 12:30:49,3
интересно почему так очень интересно наверное это призвание людей призвание работать рыгаловке иначе мед учреждения назовешь самодурами руководителями рублей месяц где тебя утра вечера поливают помоями что некоторые пациенты что обсалютно выше стоящие должности где после сьеденного еще должен написать кучу правильных бумажек где тебе запрещено писать правду разрешено писать только прошло сегодня отлично интересно почему таки мед работников хватает стране,2025-02-25 12:29:21,5
так поднимите зарплаты медперсоналу штрафуйте переработку экономию пилят между главными главбухами экономистами пехоту кто им деньги зарабатывает опускают ниже плинтуса сократите нахер министерство здравоохранения там чиновники имеют никакого отношения медицине они имею мед образования там кто свои дармоеды шакалы сэкономленные деньги пустите увеличение зп медикам вот будет вам счастье вернутся обратно выдавили нищенскими зарплатами,2025-02-25 12:27:32,5
абхазии еще помогите чтоб они задницей повернулись кравцов мурашко одаривали абхазов автобусами оборудованием наши дети школу пешком ходят школах убитая техника нет спортзалов столовые улицу,2025-02-25 12:27:17,3
тыс это мечта зарплата сейчас около они хотят чтоб люди работали,2025-02-25 12:26:29,2
кто там реформой медицинской занимался скажите спасибо,2025-02-25 12:26:18,5
долбаеб получается если нет почему тебя сих пор зарплата маленькая,2025-02-25 12:17:28,2
такой зп работать считай вахтами сна отдыха постоянным риском пойти статье ясен пень туда никто пойдет воспитателями учителями,2025-02-25 12:14:04,3
них везде такие средние зарплаты стране так писать мешки ворочать,2025-02-25 12:13:26,2
стоимость обучения меняется зависимости сложности получаемой профессии так что тут логично,2025-02-25 12:12:38,3
нужно приравнять зарплату медика зарплате депутата дело пойдет,2025-02-25 12:11:59,5
думу раздули безобразия для там сидят человек получают стабильную зарплату что там решают эти дармоеды,2025-02-25 12:11:17,2
если увменьшить платных больниц бесплатных этого изменится значит просто столкнешься тем что мест больнице нет подыхай улице,2025-02-25 12:11:14,5
ценник тысяч бюджет практически невозможно попасть поэтому дефицит дефицит того что уровень образования хуже некуда это видно врачам гос клиниках нормальные специалисты разошлись частным платным клиникам зарплата регионах тысяч,2025-02-25 12:08:16,5
главное продолжать там работать коем случае увольняться,2025-02-25 12:07:25,2
звездит первых многие валят страны потому что там платят вторых пусть посмотрит тенденцию сколько медиков уходят профессии извините меня коллега после работы таксует потому что там больше заработаешь,2025-02-25 12:07:10,5
ростове зарплата тыс педагогов каждым повышением она может уменьшаться поднимая оклады забирают надбавки еще рисуют зарплаты для статистики добавляя несуществующие переработки резервного фонда потом естественно это надо вернуть каждой расчетке карандашом нарисована сумма которую должен отдать писали прокуратуру путину воз ныне там здесь везде круговая порука кто жаловались уже уволены школах садах некомплект процентов студенты ведут уроки,2025-02-25 12:05:45,3
министра здравоохранения вместе замами надо проверить первую очередь доход частных клиник всей стране связь частным предпринимательством зарубежными фарм компаниями десяток замов отправить нары сразу будит хватать мед работников это также мвд,2025-02-25 12:05:29,5
потому что частным клиникам разбежались конкурс бешеный каждый год мед универы где выпускники же,2025-02-25 12:04:36,5
больницу уже заходить страшно кишлаке раньше понимали что врачи писали бумажках теперь понятно что говорит проще сразу сдохнуть чем тебя замучают деньги последние отдашь,2025-02-25 12:04:36,5
отпускайте врачей частную медицину путем повышения оплаты труд ставку дежурства премиальные это лож полная хватке медработников такой политикой зарплате всегда хватать будит мигрантам делать,2025-02-25 12:02:18,5
люди уходят профессии так медсестры фельдшера стали непрестижны,2025-02-25 12:00:36,5
дожили врачей достаточно зато мед сестер фельдшеров остается меньше,2025-02-25 11:58:41,5
зарплату платить для этого нужно что было дифицита специалистов мурашко этом знает просто,2025-02-25 11:58:03,2
